product_id,tag_id
53,5
53,9
53,10
26,5
26,6
91,8
91,1
17,10
17,9
17,5
54,4
54,2
92,6
92,10
55,9
55,2
55,7
25,3
25,1
93,1
93,3
93,2
16,6
56,7
56,10
24,7
24,6
15,7
57,10
57,6
95,2
95,4
95,1
14,7
14,1
96,2
96,4
96,1
23,10
23,8
23,6
58,10
58,1
47,5
47,1
47,4
97,3
59,3
22,10
22,4
22,2
13,3
13,6
46,1
98,6
60,9
60,5
60,7
12,9
12,2
21,4
21,3
21,1
99,7
11,8
11,4
44,3
44,10
100,7
100,8
62,1
62,5
62,2
20,6
20,8
20,1
10,1
10,8
43,2
19,6
19,10
63,4
63,7
63,8
9,10
64,1
64,2
42,3
42,1
42,7
18,9
18,6
18,3
41,2
66,10
66,8
67,2
67,4
67,10
68,3
40,2
40,10
40,6
5,1
5,8
69,9
69,7
69,8
39,10
39,5
38,7
3,3
72,2
2,3
2,9
2,8
73,2
73,3
73,5
37,1
37,7
37,3
74,9
74,6
36,4
36,8
76,5
76,3
35,10
35,8
35,7
34,9
34,10
34,8
78,10
79,10
33,4
81,3
81,4
32,5
82,3
82,7
82,9
83,10
31,10
84,3
84,7
84,9
1,7
1,3
85,5
85,9
30,3
30,7
30,4
29,7
86,4
87,2
88,3
88,4
89,7
89,10
89,9
51,7
51,10
51,4
90,3
90,10
90,8
125,3
125,6
125,1
163,4
163,9
124,7
124,2
136,10
136,8
123,7
164,5
164,9
164,4
107,3
107,1
122,4
122,5
165,4
165,7
106,1
106,7
120,4
120,1
120,9
166,9
132,5
133,4
133,1
133,5
167,4
167,5
167,1
105,4
105,7
105,6
131,7
168,2
130,7
130,1
130,5
142,3
142,6
142,4
200,9
104,10
104,4
104,3
169,8
169,2
169,7
116,6
116,10
116,8
128,8
128,10
170,1
146,5
183,10
102,2
102,5
147,6
147,8
184,5
184,8
114,10
114,9
171,1
145,10
148,7
148,9
148,3
101,2
101,3
101,9
172,9
172,6
172,10
186,10
186,8
149,2
149,9
149,10
109,9
109,4
187,1
187,5
187,2
173,5
173,9
173,1
108,7
108,9
108,4
138,1
138,5
103,10
103,9
150,1
150,8
174,9
174,2
174,3
188,8
188,10
188,1
137,7
137,2
175,7
175,5
189,7
189,3
189,10
151,9
151,4
151,8
152,10
176,5
176,4
176,2
177,8
121,5
154,1
154,10
154,4
191,1
155,9
155,10
155,6
119,2
119,10
192,5
192,10
118,6
118,7
179,3
179,2
179,8
156,3
156,8
193,1
180,5
180,10
180,2
117,7
117,9
117,10
129,3
157,4
157,2
157,8
181,6
181,10
194,6
194,5
194,2
158,4
195,9
195,2
127,1
127,6
127,5
196,4
126,3
126,9
126,7
144,4
144,1
113,5
160,6
197,10
197,1
197,9
198,1
198,7
198,6
161,7
161,8
161,6
199,5
215,6
215,7
