sku,name,price,cost,description,ai_summary,specs,min_stock,max_stock,category_id,supplier_id,id,created_at,updated_at,is_deleted
SKU-#e5b78f-00000,量子计算终端,49278.73,19035.11,得到文化拥有中心的话工作增加.,,,10,1000,5,555,1,2025-11-25 20:27:24.627704,2025-11-25 20:27:24.627706,0
SKU-#c1e97e-00001,反物质生物芯片,7021.92,12198.14,那么积分日本然后感觉发展汽车专业不能谢谢公司.,,,10,1000,10,189,2,2025-11-25 20:27:24.627708,2025-11-25 20:27:24.627709,0
SKU-#eda279-00002,脉冲计算终端,45915.14,16466.28,发生知道本站男人应用开始在线社区合作.,,,10,1000,4,384,3,2025-11-25 20:27:24.627710,2025-11-25 20:27:24.627711,0
SKU-#32d497-00003,反物质机械臂,4665.83,15949.38,资料这么市场专业以上能够发生也是不是一般加入搜索一个学生评论.,,,10,1000,10,556,4,2025-11-25 20:27:24.627712,2025-11-25 20:27:24.627713,0
SKU-#3fd51e-00004,高能转换器,27161.46,1937.52,有限的是为什虽然报告学习的是应该名称社会美国.,,,10,1000,4,336,5,2025-11-25 20:27:24.627714,2025-11-25 20:27:24.627715,0
SKU-#dd4ca4-00005,脉冲推进器,12603.67,16193.99,如何发现关系制作计划如何更多资料报告.,,,10,1000,4,547,6,2025-11-25 20:27:24.627717,2025-11-25 20:27:24.627718,0
SKU-#3c44d8-00006,脉冲计算终端,20506.52,14909.64,网上虽然表示能力免费基本原因不会以及公司.,,,10,1000,8,57,7,2025-11-25 20:27:24.627719,2025-11-25 20:27:24.627720,0
SKU-#c39d63-00007,高能推进器,44378.55,22311.51,中国网站发展手机查看发表东西关于.,,,10,1000,3,189,8,2025-11-25 20:27:24.627721,2025-11-25 20:27:24.627722,0
SKU-#0e94ce-00008,脉冲外骨骼,2093.02,20923.89,电影如果成功加入参加事情标准网站主题发布网站.,,,10,1000,3,256,9,2025-11-25 20:27:24.627723,2025-11-25 20:27:24.627724,0
SKU-#500caf-00009,泰坦生物芯片,19460.46,6838.95,社会网站只是推荐就是他的精华作品一点你的客户查看留言或者加入.,,,10,1000,11,180,10,2025-11-25 20:27:24.627725,2025-11-25 20:27:24.627726,0
SKU-#10f39a-00010,聚变装甲片,48303.61,17508.03,浏览希望以及各种社会电脑一点世界这些深圳安全最后次数.,,,10,1000,14,151,11,2025-11-25 20:27:24.627727,2025-11-25 20:27:24.627728,0
SKU-#6331b8-00011,纳米无人机,35242.43,217.16,社会基本活动社会目前环境生产应用密码当前企业只要.,,,10,1000,1,454,12,2025-11-25 20:27:24.627729,2025-11-25 20:27:24.627730,0
SKU-#a5e991-00012,超导控制中枢,23231.26,11053.09,不过成功研究制作全国都是评论各种大学.,,,10,1000,2,310,13,2025-11-25 20:27:24.627731,2025-11-25 20:27:24.627732,0
SKU-#83f808-00013,暗物质护盾发生器,43384.15,14441.14,其他部分支持关于安全作品详细.,,,10,1000,2,278,14,2025-11-25 20:27:24.627733,2025-11-25 20:27:24.627734,0
SKU-#974ac4-00014,虚空动力核心,3767.34,17928.93,系统发展标题制作规定帮助位置必须今天或者作者具有中文.,,,10,1000,8,340,15,2025-11-25 20:27:24.627736,2025-11-25 20:27:24.627737,0
SKU-#91ea85-00015,超导转换器,6347.59,20069.74,一个国际回复处理非常世界我们内容标题.,,,10,1000,9,366,16,2025-11-25 20:27:24.627738,2025-11-25 20:27:24.627739,0
SKU-#16acfe-00016,暗物质机械臂,44225.72,18043.31,威望发布加入对于价格谢谢喜欢论坛简介一个图片出现帮助地区影响到了.,,,10,1000,11,490,17,2025-11-25 20:27:24.627740,2025-11-25 20:27:24.627741,0
SKU-#d3e8a0-00017,光子存储晶体,39985.2,1332.83,继续希望为了谢谢同时游戏作者加入只是.,,,10,1000,15,506,18,2025-11-25 20:27:24.627742,2025-11-25 20:27:24.627743,0
SKU-#cb5214-00018,赛博装甲片,11014.61,2120.37,品牌人员活动大家日期生产拥有免费不会音乐帮助一些.,,,10,1000,13,432,19,2025-11-25 20:27:24.627744,2025-11-25 20:27:24.627745,0
SKU-#3132d6-00019,等离子机械臂,24827.38,5822.27,知道但是论坛不同但是其实游戏个人介绍这样日期世界虽然不断.,,,10,1000,12,204,20,2025-11-25 20:27:24.627746,2025-11-25 20:27:24.627747,0
