transaction_code,move_type,product_id,warehouse_id,qty_change,balance_after,operator_id,remark,id,created_at,updated_at,is_deleted
INIT-#12c7d6-0,inbound,1,1,612,612,1,系统初始化入库,1,2025-11-25 20:27:31.393132,2025-11-25 20:27:31.393135,0
INIT-#7ad56c-0,inbound,1,4,1940,1940,1,系统初始化入库,2,2025-11-25 20:27:31.393137,2025-11-25 20:27:31.393138,0
INIT-#f53e61-1,inbound,2,5,1951,1951,1,系统初始化入库,3,2025-11-25 20:27:31.393139,2025-11-25 20:27:31.393140,0
INIT-#09fa08-2,inbound,3,4,652,652,1,系统初始化入库,4,2025-11-25 20:27:31.393142,2025-11-25 20:27:31.393143,0
INIT-#ca2afa-3,inbound,4,3,629,629,1,系统初始化入库,5,2025-11-25 20:27:31.393144,2025-11-25 20:27:31.393145,0
INIT-#54cc1e-4,inbound,5,4,314,314,1,系统初始化入库,6,2025-11-25 20:27:31.393146,2025-11-25 20:27:31.393147,0
INIT-#196a4d-4,inbound,5,5,669,669,1,系统初始化入库,7,2025-11-25 20:27:31.393148,2025-11-25 20:27:31.393149,0
INIT-#345477-5,inbound,6,1,1565,1565,1,系统初始化入库,8,2025-11-25 20:27:31.393150,2025-11-25 20:27:31.393151,0
INIT-#df35b0-5,inbound,6,2,2000,2000,1,系统初始化入库,9,2025-11-25 20:27:31.393152,2025-11-25 20:27:31.393153,0
INIT-#88d146-5,inbound,6,5,944,944,1,系统初始化入库,10,2025-11-25 20:27:31.393154,2025-11-25 20:27:31.393155,0
INIT-#0ce143-6,inbound,7,4,1909,1909,1,系统初始化入库,11,2025-11-25 20:27:31.393156,2025-11-25 20:27:31.393157,0
INIT-#9dd99c-6,inbound,7,6,1397,1397,1,系统初始化入库,12,2025-11-25 20:27:31.393158,2025-11-25 20:27:31.393159,0
INIT-#31ad49-7,inbound,8,2,1433,1433,1,系统初始化入库,13,2025-11-25 20:27:31.393160,2025-11-25 20:27:31.393161,0
INIT-#2123fc-8,inbound,9,5,969,969,1,系统初始化入库,14,2025-11-25 20:27:31.393163,2025-11-25 20:27:31.393164,0
INIT-#1f1b03-9,inbound,10,1,1204,1204,1,系统初始化入库,15,2025-11-25 20:27:31.393165,2025-11-25 20:27:31.393166,0
INIT-#9acf85-10,inbound,11,5,902,902,1,系统初始化入库,16,2025-11-25 20:27:31.393167,2025-11-25 20:27:31.393168,0
INIT-#266c90-11,inbound,12,1,1139,1139,1,系统初始化入库,17,2025-11-25 20:27:31.393169,2025-11-25 20:27:31.393170,0
INIT-#f3e972-11,inbound,12,5,459,459,1,系统初始化入库,18,2025-11-25 20:27:31.393171,2025-11-25 20:27:31.393172,0
INIT-#be2add-11,inbound,12,3,122,122,1,系统初始化入库,19,2025-11-25 20:27:31.393173,2025-11-25 20:27:31.393174,0
INIT-#2911b5-12,inbound,13,6,365,365,1,系统初始化入库,20,2025-11-25 20:27:31.393175,2025-11-25 20:27:31.393176,0
INIT-#cb3767-13,inbound,14,5,52,52,1,系统初始化入库,21,2025-11-25 20:27:31.393177,2025-11-25 20:27:31.393178,0
INIT-#c19311-13,inbound,14,2,1177,1177,1,系统初始化入库,22,2025-11-25 20:27:31.393180,2025-11-25 20:27:31.393181,0
INIT-#f80506-14,inbound,15,2,1851,1851,1,系统初始化入库,23,2025-11-25 20:27:31.393182,2025-11-25 20:27:31.393183,0
INIT-#123f44-15,inbound,16,3,1529,1529,1,系统初始化入库,24,2025-11-25 20:27:31.393184,2025-11-25 20:27:31.393185,0
INIT-#ac6c9e-15,inbound,16,6,602,602,1,系统初始化入库,25,2025-11-25 20:27:31.393186,2025-11-25 20:27:31.393187,0
INIT-#882ae2-15,inbound,16,5,1810,1810,1,系统初始化入库,26,2025-11-25 20:27:31.393188,2025-11-25 20:27:31.393190,0
INIT-#809972-16,inbound,17,6,1063,1063,1,系统初始化入库,27,2025-11-25 20:27:31.393192,2025-11-25 20:27:31.393193,0
INIT-#6df129-16,inbound,17,4,203,203,1,系统初始化入库,28,2025-11-25 20:27:31.393194,2025-11-25 20:27:31.393195,0
INIT-#1c98bd-16,inbound,17,2,1167,1167,1,系统初始化入库,29,2025-11-25 20:27:31.393196,2025-11-25 20:27:31.393197,0
INIT-#35e30c-17,inbound,18,4,1574,1574,1,系统初始化入库,30,2025-11-25 20:27:31.393198,2025-11-25 20:27:31.393199,0
INIT-#917508-18,inbound,19,3,1381,1381,1,系统初始化入库,31,2025-11-25 20:27:31.393200,2025-11-25 20:27:31.393201,0
INIT-#84e669-19,inbound,20,5,1392,1392,1,系统初始化入库,32,2025-11-25 20:27:31.393202,2025-11-25 20:27:31.393203,0
INIT-#21fca8-19,inbound,20,6,111,111,1,系统初始化入库,33,2025-11-25 20:27:31.393204,2025-11-25 20:27:31.393205,0
INIT-#059df2-19,inbound,20,4,398,398,1,系统初始化入库,34,2025-11-25 20:27:31.393206,2025-11-25 20:27:31.393207,0
INIT-#a8f6e5-20,inbound,21,4,785,785,1,系统初始化入库,35,2025-11-25 20:27:31.393208,2025-11-25 20:27:31.393209,0
INIT-#a30738-20,inbound,21,5,1618,1618,1,系统初始化入库,36,2025-11-25 20:27:31.393210,2025-11-25 20:27:31.393211,0
INIT-#5440c4-20,inbound,21,6,68,68,1,系统初始化入库,37,2025-11-25 20:27:31.393213,2025-11-25 20:27:31.393214,0
INIT-#5e4d0f-21,inbound,22,6,1515,1515,1,系统初始化入库,38,2025-11-25 20:27:31.393215,2025-11-25 20:27:31.393216,0
INIT-#7ee0c2-21,inbound,22,3,1090,1090,1,系统初始化入库,39,2025-11-25 20:27:31.393217,2025-11-25 20:27:31.393218,0
INIT-#5111f1-21,inbound,22,5,177,177,1,系统初始化入库,40,2025-11-25 20:27:31.393219,2025-11-25 20:27:31.393220,0
INIT-#946f29-22,inbound,23,6,287,287,1,系统初始化入库,41,2025-11-25 20:27:31.393221,2025-11-25 20:27:31.393222,0
INIT-#425740-23,inbound,24,3,894,894,1,系统初始化入库,42,2025-11-25 20:27:31.393223,2025-11-25 20:27:31.393224,0
INIT-#34d134-24,inbound,25,2,1185,1185,1,系统初始化入库,43,2025-11-25 20:27:31.393225,2025-11-25 20:27:31.393226,0
INIT-#687e3e-24,inbound,25,5,332,332,1,系统初始化入库,44,2025-11-25 20:27:31.393227,2025-11-25 20:27:31.393228,0
INIT-#e98385-24,inbound,25,3,1073,1073,1,系统初始化入库,45,2025-11-25 20:27:31.393229,2025-11-25 20:27:31.393230,0
INIT-#ee3a75-25,inbound,26,2,1172,1172,1,系统初始化入库,46,2025-11-25 20:27:31.393231,2025-11-25 20:27:31.393232,0
INIT-#fe9a7b-26,inbound,27,6,461,461,1,系统初始化入库,47,2025-11-25 20:27:31.393234,2025-11-25 20:27:31.393235,0
INIT-#2f59f6-26,inbound,27,5,722,722,1,系统初始化入库,48,2025-11-25 20:27:31.393236,2025-11-25 20:27:31.393237,0
INIT-#0a6f96-26,inbound,27,2,154,154,1,系统初始化入库,49,2025-11-25 20:27:31.393238,2025-11-25 20:27:31.393239,0
INIT-#27f8c5-27,inbound,28,2,1993,1993,1,系统初始化入库,50,2025-11-25 20:27:31.393240,2025-11-25 20:27:31.393241,0
