product_id,warehouse_id,quantity,shelf_location,id,created_at,updated_at,is_deleted
1,1,612,,1,2025-11-25 20:27:31.401840,2025-11-25 20:27:31.401843,0
1,4,1940,,2,2025-11-25 20:27:31.401845,2025-11-25 20:27:31.401846,0
2,5,1951,,3,2025-11-25 20:27:31.401847,2025-11-25 20:27:31.401848,0
3,4,652,,4,2025-11-25 20:27:31.401849,2025-11-25 20:27:31.401850,0
4,3,629,,5,2025-11-25 20:27:31.401851,2025-11-25 20:27:31.401852,0
5,4,314,,6,2025-11-25 20:27:31.401853,2025-11-25 20:27:31.401854,0
5,5,669,,7,2025-11-25 20:27:31.401855,2025-11-25 20:27:31.401856,0
6,1,1565,,8,2025-11-25 20:27:31.401857,2025-11-25 20:27:31.401858,0
6,2,2000,,9,2025-11-25 20:27:31.401859,2025-11-25 20:27:31.401860,0
6,5,944,,10,2025-11-25 20:27:31.401861,2025-11-25 20:27:31.401862,0
7,4,1909,,11,2025-11-25 20:27:31.401863,2025-11-25 20:27:31.401864,0
7,6,1397,,12,2025-11-25 20:27:31.401865,2025-11-25 20:27:31.401866,0
8,2,1433,,13,2025-11-25 20:27:31.401867,2025-11-25 20:27:31.401868,0
9,5,969,,14,2025-11-25 20:27:31.401869,2025-11-25 20:27:31.401870,0
10,1,1204,,15,2025-11-25 20:27:31.401871,2025-11-25 20:27:31.401872,0
11,5,902,,16,2025-11-25 20:27:31.401874,2025-11-25 20:27:31.401874,0
12,1,1139,,17,2025-11-25 20:27:31.401876,2025-11-25 20:27:31.401876,0
12,5,459,,18,2025-11-25 20:27:31.401878,2025-11-25 20:27:31.401878,0
12,3,122,,19,2025-11-25 20:27:31.401880,2025-11-25 20:27:31.401880,0
13,6,365,,20,2025-11-25 20:27:31.401882,2025-11-25 20:27:31.401882,0
14,5,52,,21,2025-11-25 20:27:31.401884,2025-11-25 20:27:31.401884,0
14,2,1177,,22,2025-11-25 20:27:31.401886,2025-11-25 20:27:31.401886,0
15,2,1851,,23,2025-11-25 20:27:31.401888,2025-11-25 20:27:31.401888,0
16,3,1529,,24,2025-11-25 20:27:31.401890,2025-11-25 20:27:31.401890,0
16,6,602,,25,2025-11-25 20:27:31.401892,2025-11-25 20:27:31.401892,0
16,5,1810,,26,2025-11-25 20:27:31.401894,2025-11-25 20:27:31.401894,0
17,6,1063,,27,2025-11-25 20:27:31.401896,2025-11-25 20:27:31.401896,0
17,4,203,,28,2025-11-25 20:27:31.401898,2025-11-25 20:27:31.401899,0
17,2,1167,,29,2025-11-25 20:27:31.401900,2025-11-25 20:27:31.401901,0
18,4,1574,,30,2025-11-25 20:27:31.401902,2025-11-25 20:27:31.401903,0
19,3,1381,,31,2025-11-25 20:27:31.401904,2025-11-25 20:27:31.401904,0
20,5,1392,,32,2025-11-25 20:27:31.401906,2025-11-25 20:27:31.401906,0
20,6,111,,33,2025-11-25 20:27:31.401908,2025-11-25 20:27:31.401908,0
20,4,398,,34,2025-11-25 20:27:31.401909,2025-11-25 20:27:31.401910,0
21,4,785,,35,2025-11-25 20:27:31.401912,2025-11-25 20:27:31.401912,0
21,5,1618,,36,2025-11-25 20:27:31.401913,2025-11-25 20:27:31.401914,0
21,6,68,,37,2025-11-25 20:27:31.401915,2025-11-25 20:27:31.401916,0
22,6,1515,,38,2025-11-25 20:27:31.401917,2025-11-25 20:27:31.401918,0
22,3,1090,,39,2025-11-25 20:27:31.401919,2025-11-25 20:27:31.401920,0
22,5,177,,40,2025-11-25 20:27:31.401921,2025-11-25 20:27:31.401922,0
23,6,287,,41,2025-11-25 20:27:31.401923,2025-11-25 20:27:31.401924,0
24,3,894,,42,2025-11-25 20:27:31.401925,2025-11-25 20:27:31.401926,0
25,2,1185,,43,2025-11-25 20:27:31.401927,2025-11-25 20:27:31.401928,0
