order_no,customer_id,seller_id,total_amount,status,id,created_at,updated_at,is_deleted
ORD-20250000,276,4966,2340739.4,shipped,1,2025-11-09 20:27:42.156573,2025-11-25 20:27:42.174354,0
ORD-20250001,385,2126,1275453.53,paid,2,2025-11-08 20:27:42.173494,2025-11-25 20:27:42.178072,0
ORD-20250002,461,1623,834796.46,done,3,2025-10-04 20:27:42.177633,2025-11-25 20:27:42.180460,0
ORD-20250003,114,4768,2848595.3400000003,done,4,2025-10-25 20:27:42.180064,2025-11-25 20:27:42.186690,0
ORD-20250004,212,4013,1203664.1,done,5,2025-11-05 20:27:42.186359,2025-11-25 20:27:42.189501,0
ORD-20250005,84,3542,1867706.79,done,6,2025-11-07 20:27:42.189089,2025-11-25 20:27:42.193726,0
ORD-20250006,434,162,1607091.6800000002,done,7,2025-10-15 20:27:42.193344,2025-11-25 20:27:42.197298,0
ORD-20250007,56,3701,243428.59,done,8,2025-10-06 20:27:42.196884,2025-11-25 20:27:42.200051,0
ORD-20250008,499,2753,56757.3,done,9,2025-10-19 20:27:42.199665,2025-11-25 20:27:42.202096,0
ORD-20250009,575,1429,1406302.36,pending,10,2025-11-18 20:27:42.201716,2025-11-25 20:27:42.206233,0
ORD-20250010,88,1336,1204726.7799999998,shipped,11,2025-11-08 20:27:42.205854,2025-11-25 20:27:42.211684,0
ORD-20250011,482,4303,1205177.3000000003,done,12,2025-11-23 20:27:42.211302,2025-11-25 20:27:42.218151,0
ORD-20250012,62,4816,21791.98,done,13,2025-11-02 20:27:42.217756,2025-11-25 20:27:42.219991,0
ORD-20250013,144,2251,180975.39,done,14,2025-10-31 20:27:42.219590,2025-11-25 20:27:42.221840,0
ORD-20250014,187,4791,1967733.48,shipped,15,2025-10-28 20:27:42.221434,2025-11-25 20:27:42.227864,0
ORD-20250015,104,795,311802.8,pending,16,2025-11-07 20:27:42.227480,2025-11-25 20:27:42.228954,0
ORD-20250016,114,2808,398286.24,done,17,2025-11-02 20:27:42.228402,2025-11-25 20:27:42.230032,0
ORD-20250017,296,4063,1248511.7399999998,done,18,2025-11-25 20:27:42.229517,2025-11-25 20:27:42.235889,0
ORD-20250018,83,802,141004.43000000002,done,19,2025-10-17 20:27:42.235548,2025-11-25 20:27:42.236756,0
ORD-20250019,154,917,2323623.0700000003,shipped,20,2025-10-29 20:27:42.236403,2025-11-25 20:27:42.241411,0
ORD-20250020,507,3604,1381292.9100000001,done,21,2025-11-24 20:27:42.241057,2025-11-25 20:27:42.245607,0
ORD-20250021,276,4917,259460.96,done,22,2025-10-19 20:27:42.245251,2025-11-25 20:27:42.246474,0
ORD-20250022,566,1706,565464.8,done,23,2025-10-22 20:27:42.246115,2025-11-25 20:27:42.248305,0
ORD-20250023,200,3364,954352.25,done,24,2025-10-05 20:27:42.247950,2025-11-25 20:27:42.249927,0
ORD-20250024,276,3122,555302.32,done,25,2025-11-01 20:27:42.249594,2025-11-25 20:27:42.251696,0
ORD-20250025,435,4475,1705675.87,done,26,2025-10-16 20:27:42.251344,2025-11-25 20:27:42.256267,0
ORD-20250026,409,2229,2038122.0199999998,done,27,2025-10-15 20:27:42.255934,2025-11-25 20:27:42.261926,0
ORD-20250027,161,2962,1329762.1400000001,pending,28,2025-10-09 20:27:42.261567,2025-11-25 20:27:42.266361,0
ORD-20250028,131,2692,1254876.46,pending,29,2025-10-12 20:27:42.266032,2025-11-25 20:27:42.270997,0
ORD-20250029,532,3769,950823.2599999999,done,30,2025-10-22 20:27:42.270598,2025-11-25 20:27:42.275585,0
ORD-20250030,562,4928,517731.74,paid,31,2025-10-26 20:27:42.275175,2025-11-25 20:27:42.277464,0
ORD-20250031,23,95,1262948.31,done,32,2025-10-14 20:27:42.277067,2025-11-25 20:27:42.282011,0
ORD-20250032,307,4748,1846958.4200000002,pending,33,2025-11-13 20:27:42.281625,2025-11-25 20:27:42.287413,0
ORD-20250033,162,4056,692470.66,shipped,34,2025-10-07 20:27:42.287051,2025-11-25 20:27:42.291060,0
ORD-20250034,533,2711,491277.66,paid,35,2025-10-23 20:27:42.290732,2025-11-25 20:27:42.293531,0
ORD-20250035,268,3523,1091035.0299999998,shipped,36,2025-10-25 20:27:42.293146,2025-11-25 20:27:42.296671,0
ORD-20250036,205,2683,693600.53,done,37,2025-11-04 20:27:42.296296,2025-11-25 20:27:42.300895,0
ORD-20250037,559,1435,2957987.3,done,38,2025-11-09 20:27:42.300449,2025-11-25 20:27:42.306862,0
ORD-20250038,150,4548,1299843.15,paid,39,2025-10-27 20:27:42.306507,2025-11-25 20:27:42.312135,0
ORD-20250039,521,1578,1436017.7,done,40,2025-11-01 20:27:42.311755,2025-11-25 20:27:42.316815,0
ORD-20250040,535,1224,103442.64,done,41,2025-10-10 20:27:42.316438,2025-11-25 20:27:42.317909,0
ORD-20250041,455,4039,634591.38,done,42,2025-11-18 20:27:42.317338,2025-11-25 20:27:42.321378,0
ORD-20250042,417,433,1755076.35,paid,43,2025-11-02 20:27:42.320968,2025-11-25 20:27:42.328204,0
ORD-20250043,399,412,100620.83,done,44,2025-11-05 20:27:42.327824,2025-11-25 20:27:42.330942,0
ORD-20250044,212,2092,1921448.9900000002,pending,45,2025-11-23 20:27:42.330545,2025-11-25 20:27:42.335750,0
ORD-20250045,56,1420,727833.43,done,46,2025-11-10 20:27:42.335385,2025-11-25 20:27:42.340700,0
ORD-20250046,421,2818,291048.48,done,47,2025-10-28 20:27:42.340340,2025-11-25 20:27:42.343939,0
ORD-20250047,251,2985,512920.95999999996,shipped,48,2025-11-21 20:27:42.343591,2025-11-25 20:27:42.346390,0
ORD-20250048,411,2468,102730.15,done,49,2025-11-08 20:27:42.346048,2025-11-25 20:27:42.347223,0
ORD-20250049,335,2666,1789332.1,done,50,2025-10-15 20:27:42.346874,2025-11-25 20:27:42.352590,0
ORD-20250050,596,2977,1808455.44,paid,51,2025-10-13 20:27:42.403933,2025-11-25 20:27:42.411973,0
ORD-20250051,239,413,2637511.7800000003,shipped,52,2025-10-02 20:27:42.411590,2025-11-25 20:27:42.418728,0
ORD-20250052,27,480,2022436.0499999998,done,53,2025-11-10 20:27:42.418348,2025-11-25 20:27:42.424010,0
ORD-20250053,315,172,66141.32,pending,54,2025-11-19 20:27:42.423639,2025-11-25 20:27:42.426300,0
ORD-20250054,162,1072,812268.73,shipped,55,2025-10-18 20:27:42.425926,2025-11-25 20:27:42.428693,0
ORD-20250055,131,3870,2018477.83,paid,56,2025-10-23 20:27:42.428315,2025-11-25 20:27:42.434169,0
ORD-20250056,535,2023,345486.26,done,57,2025-10-10 20:27:42.433623,2025-11-25 20:27:42.435565,0
ORD-20250057,242,3118,1119031.92,done,58,2025-09-27 20:27:42.434716,2025-11-25 20:27:42.437807,0
ORD-20250058,356,4257,930642.97,pending,59,2025-11-15 20:27:42.437448,2025-11-25 20:27:42.443683,0
ORD-20250059,247,1859,1227733.3699999999,pending,60,2025-11-15 20:27:42.443303,2025-11-25 20:27:42.447489,0
ORD-20250060,374,2007,1454003.53,done,61,2025-10-07 20:27:42.447091,2025-11-25 20:27:42.453001,0
ORD-20250061,341,2874,979110.22,paid,62,2025-10-16 20:27:42.452601,2025-11-25 20:27:42.459535,0
ORD-20250062,446,1423,3430437.1299999994,paid,63,2025-10-26 20:27:42.459017,2025-11-25 20:27:42.466879,0
ORD-20250063,558,2222,1384149.54,shipped,64,2025-11-04 20:27:42.466486,2025-11-25 20:27:42.470717,0
ORD-20250064,489,1010,72988.8,done,65,2025-10-13 20:27:42.470331,2025-11-25 20:27:42.472443,0
ORD-20250065,359,4008,797847.2100000001,done,66,2025-11-20 20:27:42.471249,2025-11-25 20:27:42.475555,0
ORD-20250066,504,716,793981.5100000001,done,67,2025-11-06 20:27:42.475163,2025-11-25 20:27:42.479481,0
ORD-20250067,285,460,1968576.5099999998,done,68,2025-10-22 20:27:42.479001,2025-11-25 20:27:42.485954,0
ORD-20250068,299,1575,26035.05,shipped,69,2025-11-05 20:27:42.485560,2025-11-25 20:27:42.487385,0
ORD-20250069,229,3480,195837.08,done,70,2025-10-07 20:27:42.486507,2025-11-25 20:27:42.490468,0
ORD-20250070,175,4796,67572.8,done,71,2025-11-11 20:27:42.490081,2025-11-25 20:27:42.491883,0
ORD-20250071,309,2761,1308764.99,pending,72,2025-10-30 20:27:42.491016,2025-11-25 20:27:42.498098,0
ORD-20250072,296,570,1241364.8199999998,done,73,2025-11-24 20:27:42.497104,2025-11-25 20:27:42.503499,0
ORD-20250073,156,326,1205818.1800000002,pending,74,2025-11-21 20:27:42.503102,2025-11-25 20:27:42.508948,0
ORD-20250074,275,1134,154287.44,done,75,2025-10-17 20:27:42.508560,2025-11-25 20:27:42.510340,0
ORD-20250075,562,561,1549765.71,done,76,2025-10-27 20:27:42.509472,2025-11-25 20:27:42.515999,0
ORD-20250076,341,409,2487164.3800000004,done,77,2025-10-01 20:27:42.515634,2025-11-25 20:27:42.520676,0
ORD-20250077,16,536,1422911.1700000002,done,78,2025-10-21 20:27:42.520342,2025-11-25 20:27:42.525556,0
ORD-20250078,285,1391,1506115.56,shipped,79,2025-10-30 20:27:42.525208,2025-11-25 20:27:42.530623,0
ORD-20250079,155,837,418492.69,paid,80,2025-11-03 20:27:42.530269,2025-11-25 20:27:42.535472,0
ORD-20250080,147,4912,698366.97,done,81,2025-11-10 20:27:42.535138,2025-11-25 20:27:42.539602,0
ORD-20250081,69,3909,3151996.75,paid,82,2025-10-24 20:27:42.539251,2025-11-25 20:27:42.546445,0
ORD-20250082,112,1289,3630356.6800000006,shipped,83,2025-10-07 20:27:42.546067,2025-11-25 20:27:42.552764,0
ORD-20250083,223,1908,112962.0,shipped,84,2025-11-25 20:27:42.552438,2025-11-25 20:27:42.553951,0
ORD-20250084,91,1345,1979055.14,paid,85,2025-11-20 20:27:42.553209,2025-11-25 20:27:42.558217,0
ORD-20250085,464,1771,91861.2,done,86,2025-10-11 20:27:42.557814,2025-11-25 20:27:42.560523,0
ORD-20250086,579,2231,1071239.31,shipped,87,2025-11-01 20:27:42.560175,2025-11-25 20:27:42.564729,0
ORD-20250087,162,4224,559495.25,done,88,2025-10-03 20:27:42.563866,2025-11-25 20:27:42.566657,0
ORD-20250088,533,1322,1024788.48,done,89,2025-10-24 20:27:42.566273,2025-11-25 20:27:42.569932,0
ORD-20250089,524,2379,1340900.42,shipped,90,2025-11-12 20:27:42.569557,2025-11-25 20:27:42.573879,0
ORD-20250090,307,3493,3300333.27,done,91,2025-11-18 20:27:42.573511,2025-11-25 20:27:42.582734,0
ORD-20250091,163,4465,2829024.21,done,92,2025-11-06 20:27:42.582185,2025-11-25 20:27:42.591986,0
ORD-20250092,550,4746,1415604.76,pending,93,2025-10-25 20:27:42.591507,2025-11-25 20:27:42.596529,0
ORD-20250093,150,3488,1168084.29,done,94,2025-10-09 20:27:42.595992,2025-11-25 20:27:42.603265,0
ORD-20250094,141,1486,831069.83,pending,95,2025-11-22 20:27:42.602769,2025-11-25 20:27:42.609459,0
ORD-20250095,285,2656,1490129.58,pending,96,2025-10-29 20:27:42.608925,2025-11-25 20:27:42.613734,0
ORD-20250096,203,2266,3229487.88,done,97,2025-11-12 20:27:42.613352,2025-11-25 20:27:42.620871,0
ORD-20250097,39,3770,1056082.92,pending,98,2025-11-07 20:27:42.620518,2025-11-25 20:27:42.624716,0
ORD-20250098,262,4515,504070.27999999997,done,99,2025-10-03 20:27:42.624372,2025-11-25 20:27:42.626146,0
ORD-20250099,482,4814,1530665.64,paid,100,2025-10-26 20:27:42.625197,2025-11-25 20:27:42.631756,0
ORD-20250100,367,4588,1761044.27,shipped,101,2025-10-06 20:27:42.668671,2025-11-25 20:27:42.675635,0
